GDPR Sensitive,Notes,Event Code Legacy,Hybride,ActionEventCode Hybride,Status,N/A in V2,Wish list,Stack V2,Stack V1,Action,Capacity,Applications,Actor,Entities,Service,Business Criticity,Activity,API v1 Call,API v1 Note,API v1 Verb,Event tracked since,Criticity of Capacity
No,,,No,,,No,No,No,Yes,View Customer Onboarding Checklist,https://www.notion.so/Set-up-Account-8829bc7ee02c44b98b9775dab9940fb5,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/CSM-Staff-9b04a1191a2e47a6bb0e00e76275e136,,,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,,,,,Medium
No,,,No,,,No,No,No,Yes,View FG and Properties locations on a Map,https://www.notion.so/Manage-FlatGuide-Staffing-401b4b05092e40b5a393b6391cdf2887,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Critical
No,,,No,,,No,No,No,Yes,View FG Calendar and Availablitles,https://www.notion.so/Manage-FlatGuide-Visits-18c3ee43a79b4145a31ccde6a1668ddc,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Critical
No,,,No,,,No,No,No,Yes,View FG Default Fee details,https://www.notion.so/Manage-FlatGuide-Account-1a34a06d993444fd9694ff7561f89622,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Light
No,,,No,,,No,No,No,Yes,View FG fee and package per Property,https://www.notion.so/Manage-FlatGuide-Staffing-401b4b05092e40b5a393b6391cdf2887,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Critical
No,,,No,,,No,No,Yes,Yes,View FG Profile Details,https://www.notion.so/Manage-FlatGuide-Account-1a34a06d993444fd9694ff7561f89622,https://www.notion.so/FlatGuide-App-c90e959f40264e73b351781212bcc703,https://www.notion.so/Flat-Guide-d466759d44bf4efe995c7eeb0f3a29ca,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,/public/me,,POST,,Light
No,,,No,,,No,No,Yes,Yes,View FG Waiting List,https://www.notion.so/Sign-Up-FlatGuide-fa8365ecb8964d7fbac4e1568a493e25,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Light
No,,,No,,,No,No,Yes,Yes,View itinerary for FG for a Property,https://www.notion.so/Manage-FlatGuide-Visits-18c3ee43a79b4145a31ccde6a1668ddc,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Critical
No,,,No,,,No,No,No,Yes,View Ops Dashboards,https://www.notion.so/FlatGuide-Reporting-4a2711b9ce8f4cae8ab73c32b7edce05,https://www.notion.so/Metabase-e396630284834cf6a1a4bdad8159e2a5,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Light
No,,,No,,,No,No,Yes,Yes,View Upcoming Booking,"https://www.notion.so/Manage-SaaS-Visits-47be559e69304dd0aabf616c2123ac55, https://www.notion.so/Manage-Visits-ed81ab4cab0b4251afa332531aaec3db",https://www.notion.so/Applicant-App-4034543ba8b3418abe7071688eadd6ed,https://www.notion.so/Applicant-b3fc61ee3d294c8a983a7cce5a5ede16,https://www.notion.so/Booking-3f5ab6da13eb42d192d5add126bb0e92,,,"https://www.notion.so/a37139b96ea448588075ceccf988a2c9,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8",,,,,"High,Critical"
No,,,No,,,No,No,No,Yes,View Upcoming Invoice Amount,https://www.notion.so/Invoice-6c1699e475d249bfb8f365a412fcd287,https://www.notion.so/Agency-App-9d35b96d2bc140f8be04d78bf249c573,https://www.notion.so/Agency-Collaborator-1f0f9050687a4c69b82c2ad25bea34e6,https://www.notion.so/User-bf889e3166d74034baf629bfcc86f6f6,,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,,,,,Medium
No,,,No,,,No,No,No,No,View Upcoming Invoice Amount,https://www.notion.so/SaaS-Invoice-3625994e436b4bd1851da091e6df3e88,https://www.notion.so/cc9b8d62b15347c3ad8c22e50622d6a6,,,,,https://www.notion.so/a37139b96ea448588075ceccf988a2c9,,,,,Medium
No,,,No,,,No,No,Yes,Yes,View Upcoming Invoice Emission Date,https://www.notion.so/Invoice-6c1699e475d249bfb8f365a412fcd287,https://www.notion.so/Agency-App-9d35b96d2bc140f8be04d78bf249c573,https://www.notion.so/Agency-Collaborator-1f0f9050687a4c69b82c2ad25bea34e6,https://www.notion.so/User-bf889e3166d74034baf629bfcc86f6f6,,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,,,,,Medium
No,,,No,,,No,No,No,No,View Upcoming Invoice Emission Date,https://www.notion.so/SaaS-Invoice-3625994e436b4bd1851da091e6df3e88,https://www.notion.so/cc9b8d62b15347c3ad8c22e50622d6a6,,,,,https://www.notion.so/a37139b96ea448588075ceccf988a2c9,,,,,Medium
